Theme,Code,Definition,Examples
Musical Taste & Influence,GENRE_PREFERENCE,Mentions favorite genres or subgenres. Specific mentions in ().,"“Lately, definitely more metalcore, deathcore, post-hardcore.”"
Musical Taste & Influence,GATEWAY_BAND,Names a band/artist that functioned as an entry point to heavier styles or techniques.,“Slipknot was a gateway band for metalcore and deathcore.”
Musical Taste & Influence,NON_METAL_TASTE,"Talks about liking pop, hip-hop, R&B, etc. Specific mentions in ()",“I love pop — from Michael Jackson to Charlie Puth.”
Musical Taste & Influence,CHILDHOOD_INFLUENCE,References early family or childhood exposure to music.,"“Definitely from my dad, listening to old rock and roll.”"
Musical Taste & Influence,BAND_INFLUENCE,Mentions influential bands shaping their sound. Specific mentions in ().,"“Green Day, Slipknot, Bring Me the Horizon.”"
Musical Taste & Influence,CULTURAL_INFLUENCE,"Mentions regional, generational, or cultural factors shaping style.",“2000s hip-hop is nostalgic for me — that’s what I grew up with.”
Musical Taste & Influence,VOCALIST_INFLUENCE,Mentions a specific vocalists who shaped their style. Specific mentions in ().,"“Tom Barber (Chelsea Grin, Darko US) has influenced me a lot.”"
Musical Taste & Influence,INFLUENCE_DIVERSITY,Shows contrast of influences from different genres.,“Randy Blythe and Alicia Keys — both inspire me in different ways.”
Musical Taste & Influence,EMOTIONAL_CONNECTION,Links musical taste to emotion or identity.,“Emo… it’s emotional. You can talk about things you’re not talking about with everyone.”
Musical Taste & Influence,AUTHENTICITY_IN_TASTE,Critiques mainstream / prefers genuine sound.,“I want to be genuine and authentic and new — not regurgitated metal.”
Musical Background,INSTRUMENTAL_SKILL,Plays or has tried to learn instruments.,"“I’ve tried to learn guitar and bass, but I focus on vocals.”"
Musical Background,CHOIR_BACKGROUND,"Mentions choir, ensemble, or formal singing group.",“I was in honors choir in high school.”
Musical Background,COMPOSITION_PROCESS,"Talks about songwriting, lyric-writing, or creative process.","“I listen, visualize the song, then start humming and adding words.”"
Musical Background,BAND_MEMBERSHIP,Mentions current or previous bands.,“My band is called Don’t Shoot the Messenger.”
Musical Background,LOCAL_SCENE,References being part of a local music community.,“We’ve all known each other from the Atlanta scene and help each other out.”
Musical Background,STUDIO_EXPERIENCE,"Mentions studio work, recording, or comfort in studio.",“Feels like being a rock star — my first studio recording in 2019.”
Musical Background,LIVE_PERFORMANCE,"Talks about performing live, gigs, audience interaction.",“We try to do one show a month — different cities.”
